Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
27,0,0,0,0,6,10,1,,0
27,0,1,1,1,6,10,1,6.0,1
27,0,2,1,-1,5,10,1,6.0,0
27,0,3,1,-1,5,10,1,5.0,1
27,0,4,1,-1,5,10,1,5.0,1
27,0,5,1,-1,5,10,1,5.0,1
27,0,6,1,-1,5,10,1,5.0,1
27,0,7,1,-1,5,10,1,5.0,1
27,0,8,1,-1,5,10,1,5.0,1
27,0,9,1,-1,5,10,1,5.0,1
27,1,0,1,-1,0,10,1,,0
27,1,1,0,0,6,10,1,0.0,0
27,1,2,1,-1,5,10,1,6.0,0
27,1,3,1,-1,5,10,1,5.0,1
27,1,4,1,-1,5,10,1,5.0,1
27,1,5,1,-1,5,10,1,5.0,1
27,1,6,1,-1,5,10,1,5.0,1
27,1,7,1,-1,5,10,1,5.0,1
27,1,8,1,-1,5,10,1,5.0,1
27,1,9,1,-1,5,10,1,5.0,1
27,2,0,0,0,6,10,1,,0
27,2,1,1,1,6,10,1,6.0,1
27,2,2,1,-1,5,10,1,6.0,0
27,2,3,1,-1,5,10,1,5.0,1
27,2,4,1,-1,5,10,1,5.0,1
27,2,5,1,-1,5,10,1,5.0,1
27,2,6,1,-1,5,10,1,5.0,1
27,2,7,1,-1,5,10,1,5.0,1
27,2,8,1,-1,5,10,1,5.0,1
27,2,9,1,-1,5,10,1,5.0,1
27,3,0,1,-1,0,10,1,,0
27,3,1,0,0,6,10,1,0.0,0
27,3,2,1,-1,5,10,1,6.0,0
27,3,3,1,-1,5,10,1,5.0,1
27,3,4,1,-1,5,10,1,5.0,1
27,3,5,1,-1,5,10,1,5.0,1
27,3,6,1,-1,5,10,1,5.0,1
27,3,7,1,-1,5,10,1,5.0,1
27,3,8,1,-1,5,10,1,5.0,1
27,3,9,1,-1,5,10,1,5.0,1
27,4,0,0,0,3,10,1,,0
27,4,1,0,0,6,10,1,3.0,0
27,4,2,1,-1,5,10,1,6.0,0
27,4,3,1,-1,5,10,1,5.0,1
27,4,4,1,-1,5,10,1,5.0,1
27,4,5,1,-1,5,10,1,5.0,1
27,4,6,1,-1,5,10,1,5.0,1
27,4,7,1,-1,5,10,1,5.0,1
27,4,8,1,-1,5,10,1,5.0,1
27,4,9,1,-1,5,10,1,5.0,1
27,5,0,1,-1,5,10,1,,0
27,5,1,1,1,5,10,1,5.0,1
27,5,2,0,0,5,10,1,5.0,1
27,5,3,1,-1,5,10,1,5.0,1
27,5,4,1,-1,5,10,1,5.0,1
27,5,5,1,-1,5,10,1,5.0,1
27,5,6,1,-1,5,10,1,5.0,1
27,5,7,1,-1,5,10,1,5.0,1
27,5,8,1,-1,5,10,1,5.0,1
27,5,9,1,-1,5,10,1,5.0,1
27,6,0,1,-1,6,10,1,,0
27,6,1,0,0,6,10,1,6.0,1
27,6,2,1,-1,5,10,1,6.0,0
27,6,3,1,-1,5,10,1,5.0,1
27,6,4,1,-1,5,10,1,5.0,1
27,6,5,1,-1,5,10,1,5.0,1
27,6,6,1,-1,5,10,1,5.0,1
27,6,7,1,-1,5,10,1,5.0,1
27,6,8,1,-1,5,10,1,5.0,1
27,6,9,1,-1,5,10,1,5.0,1
27,7,0,1,-1,2,10,1,,0
27,7,1,0,0,6,10,1,2.0,0
27,7,2,1,-1,5,10,1,6.0,0
27,7,3,1,-1,5,10,1,5.0,1
27,7,4,1,-1,5,10,1,5.0,1
27,7,5,1,-1,5,10,1,5.0,1
27,7,6,1,-1,5,10,1,5.0,1
27,7,7,1,-1,5,10,1,5.0,1
27,7,8,1,-1,5,10,1,5.0,1
27,7,9,1,-1,5,10,1,5.0,1
27,8,0,1,-1,5,10,1,,0
27,8,1,1,1,5,10,1,5.0,1
27,8,2,0,0,5,10,1,5.0,1
27,8,3,1,-1,5,10,1,5.0,1
27,8,4,1,-1,5,10,1,5.0,1
27,8,5,1,-1,5,10,1,5.0,1
27,8,6,1,-1,5,10,1,5.0,1
27,8,7,1,-1,5,10,1,5.0,1
27,8,8,1,-1,5,10,1,5.0,1
27,8,9,1,-1,5,10,1,5.0,1
27,9,0,0,0,6,10,1,,0
27,9,1,1,1,6,10,1,6.0,1
27,9,2,1,-1,5,10,1,6.0,0
27,9,3,1,-1,5,10,1,5.0,1
27,9,4,1,-1,5,10,1,5.0,1
27,9,5,1,-1,5,10,1,5.0,1
27,9,6,1,-1,5,10,1,5.0,1
27,9,7,1,-1,5,10,1,5.0,1
27,9,8,1,-1,5,10,1,5.0,1
27,9,9,1,-1,5,10,1,5.0,1
Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
28,0,0,0,0,0,10,1,,0
28,0,1,0,0,0,10,1,0.0,1
28,0,2,0,0,0,10,1,0.0,1
28,0,3,0,0,0,10,1,0.0,1
28,0,4,0,0,0,10,1,0.0,1
28,0,5,0,0,0,10,1,0.0,1
28,0,6,0,0,0,10,1,0.0,1
28,0,7,0,0,0,10,1,0.0,1
28,0,8,0,0,0,10,1,0.0,1
28,0,9,0,0,0,10,1,0.0,1
28,1,0,0,0,1,10,1,,0
28,1,1,0,0,1,10,1,1.0,1
28,1,2,0,0,1,10,1,1.0,1
28,1,3,0,0,1,10,1,1.0,1
28,1,4,0,0,1,10,1,1.0,1
28,1,5,0,0,1,10,1,1.0,1
28,1,6,0,0,1,10,1,1.0,1
28,1,7,0,0,1,10,1,1.0,1
28,1,8,0,0,1,10,1,1.0,1
28,1,9,0,0,1,10,1,1.0,1
28,2,0,1,1,3,10,1,,0
28,2,1,1,-1,0,10,1,3.0,0
28,2,2,0,0,0,10,1,0.0,1
28,2,3,0,0,0,10,1,0.0,1
28,2,4,0,0,0,10,1,0.0,1
28,2,5,0,0,0,10,1,0.0,1
28,2,6,0,0,0,10,1,0.0,1
28,2,7,0,0,0,10,1,0.0,1
28,2,8,0,0,0,10,1,0.0,1
28,2,9,0,0,0,10,1,0.0,1
28,3,0,0,0,1,10,1,,0
28,3,1,0,0,1,10,1,1.0,1
28,3,2,0,0,1,10,1,1.0,1
