Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
24,0,0,1,1,4,10,1,,0
24,0,1,0,0,4,10,1,4.0,1
24,0,2,1,1,4,10,1,4.0,1
24,0,3,0,0,4,10,1,4.0,1
24,0,4,1,1,4,10,1,4.0,1
24,0,5,0,0,4,10,1,4.0,1
24,0,6,1,1,4,10,1,4.0,1
24,0,7,0,0,4,10,1,4.0,1
24,0,8,1,1,4,10,1,4.0,1
24,0,9,0,0,4,10,1,4.0,1
24,1,0,1,1,4,10,1,,0
24,1,1,0,0,4,10,1,4.0,1
24,1,2,1,1,4,10,1,4.0,1
24,1,3,0,0,4,10,1,4.0,1
24,1,4,1,1,4,10,1,4.0,1
24,1,5,0,0,4,10,1,4.0,1
24,1,6,1,1,4,10,1,4.0,1
24,1,7,0,0,4,10,1,4.0,1
24,1,8,1,1,4,10,1,4.0,1
24,1,9,0,0,4,10,1,4.0,1
24,2,0,1,1,4,10,1,,0
24,2,1,0,0,4,10,1,4.0,1
24,2,2,1,1,4,10,1,4.0,1
24,2,3,0,0,4,10,1,4.0,1
24,2,4,1,1,4,10,1,4.0,1
24,2,5,0,0,4,10,1,4.0,1
24,2,6,1,1,4,10,1,4.0,1
24,2,7,0,0,4,10,1,4.0,1
24,2,8,1,1,4,10,1,4.0,1
24,2,9,0,0,4,10,1,4.0,1
24,3,0,1,1,4,10,1,,0
24,3,1,0,0,4,10,1,4.0,1
24,3,2,1,1,4,10,1,4.0,1
24,3,3,0,0,4,10,1,4.0,1
24,3,4,1,1,4,10,1,4.0,1
24,3,5,0,0,4,10,1,4.0,1
24,3,6,1,1,4,10,1,4.0,1
24,3,7,0,0,4,10,1,4.0,1
24,3,8,1,1,4,10,1,4.0,1
24,3,9,0,0,4,10,1,4.0,1
24,4,0,1,1,4,10,1,,0
24,4,1,0,0,4,10,1,4.0,1
24,4,2,1,1,4,10,1,4.0,1
24,4,3,0,0,4,10,1,4.0,1
24,4,4,1,1,4,10,1,4.0,1
24,4,5,0,0,4,10,1,4.0,1
24,4,6,1,1,4,10,1,4.0,1
24,4,7,0,0,4,10,1,4.0,1
24,4,8,1,1,4,10,1,4.0,1
24,4,9,0,0,4,10,1,4.0,1
24,5,0,0,0,4,10,1,,0
24,5,1,1,1,4,10,1,4.0,1
24,5,2,0,0,4,10,1,4.0,1
24,5,3,1,1,4,10,1,4.0,1
24,5,4,0,0,4,10,1,4.0,1
24,5,5,1,1,4,10,1,4.0,1
24,5,6,0,0,4,10,1,4.0,1
24,5,7,1,1,4,10,1,4.0,1
24,5,8,0,0,4,10,1,4.0,1
24,5,9,1,1,4,10,1,4.0,1
24,6,0,0,0,4,10,1,,0
24,6,1,1,1,4,10,1,4.0,1
24,6,2,0,0,4,10,1,4.0,1
24,6,3,1,1,4,10,1,4.0,1
24,6,4,0,0,4,10,1,4.0,1
24,6,5,1,1,4,10,1,4.0,1
24,6,6,0,0,4,10,1,4.0,1
24,6,7,1,1,4,10,1,4.0,1
24,6,8,0,0,4,10,1,4.0,1
24,6,9,1,1,4,10,1,4.0,1
24,7,0,0,0,4,10,1,,0
24,7,1,1,1,4,10,1,4.0,1
24,7,2,0,0,4,10,1,4.0,1
24,7,3,1,1,4,10,1,4.0,1
24,7,4,0,0,4,10,1,4.0,1
24,7,5,1,1,4,10,1,4.0,1
24,7,6,0,0,4,10,1,4.0,1
24,7,7,1,1,4,10,1,4.0,1
24,7,8,0,0,4,10,1,4.0,1
24,7,9,1,1,4,10,1,4.0,1
24,8,0,0,0,4,10,1,,0
24,8,1,1,1,4,10,1,4.0,1
24,8,2,0,0,4,10,1,4.0,1
24,8,3,1,1,4,10,1,4.0,1
24,8,4,0,0,4,10,1,4.0,1
24,8,5,1,1,4,10,1,4.0,1
24,8,6,0,0,4,10,1,4.0,1
24,8,7,1,1,4,10,1,4.0,1
24,8,8,0,0,4,10,1,4.0,1
24,8,9,1,1,4,10,1,4.0,1
24,9,0,0,0,4,10,1,,0
24,9,1,1,1,4,10,1,4.0,1
24,9,2,0,0,4,10,1,4.0,1
24,9,3,1,1,4,10,1,4.0,1
24,9,4,0,0,4,10,1,4.0,1
24,9,5,1,1,4,10,1,4.0,1
24,9,6,0,0,4,10,1,4.0,1
24,9,7,1,1,4,10,1,4.0,1
24,9,8,0,0,4,10,1,4.0,1
24,9,9,1,1,4,10,1,4.0,1
