Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
22,0,0,1,-1,7,10,1,,0
22,0,1,1,-1,7,10,1,7.0,1
22,0,2,1,-1,7,10,1,7.0,1
22,0,3,1,-1,7,10,1,7.0,1
22,0,4,1,-1,7,10,1,7.0,1
22,0,5,1,-1,7,10,1,7.0,1
22,0,6,1,-1,7,10,1,7.0,1
22,0,7,1,-1,7,10,1,7.0,1
22,0,8,1,-1,7,10,1,7.0,1
22,0,9,1,-1,7,10,1,7.0,1
22,1,0,1,-1,7,10,1,,0
22,1,1,1,-1,7,10,1,7.0,1
22,1,2,1,-1,7,10,1,7.0,1
22,1,3,1,-1,7,10,1,7.0,1
22,1,4,1,-1,7,10,1,7.0,1
22,1,5,1,-1,7,10,1,7.0,1
22,1,6,1,-1,7,10,1,7.0,1
22,1,7,1,-1,7,10,1,7.0,1
22,1,8,1,-1,7,10,1,7.0,1
22,1,9,1,-1,7,10,1,7.0,1
22,2,0,1,-1,7,10,1,,0
22,2,1,1,-1,7,10,1,7.0,1
22,2,2,1,-1,7,10,1,7.0,1
22,2,3,1,-1,7,10,1,7.0,1
22,2,4,1,-1,7,10,1,7.0,1
22,2,5,1,-1,7,10,1,7.0,1
22,2,6,1,-1,7,10,1,7.0,1
22,2,7,1,-1,7,10,1,7.0,1
22,2,8,1,-1,7,10,1,7.0,1
22,2,9,1,-1,7,10,1,7.0,1
22,3,0,1,-1,7,10,1,,0
22,3,1,1,-1,7,10,1,7.0,1
22,3,2,1,-1,7,10,1,7.0,1
22,3,3,1,-1,7,10,1,7.0,1
22,3,4,1,-1,7,10,1,7.0,1
22,3,5,1,-1,7,10,1,7.0,1
22,3,6,1,-1,7,10,1,7.0,1
22,3,7,1,-1,7,10,1,7.0,1
22,3,8,1,-1,7,10,1,7.0,1
22,3,9,1,-1,7,10,1,7.0,1
22,4,0,1,-1,7,10,1,,0
22,4,1,1,-1,7,10,1,7.0,1
22,4,2,1,-1,7,10,1,7.0,1
22,4,3,1,-1,7,10,1,7.0,1
22,4,4,1,-1,7,10,1,7.0,1
22,4,5,1,-1,7,10,1,7.0,1
22,4,6,1,-1,7,10,1,7.0,1
22,4,7,1,-1,7,10,1,7.0,1
22,4,8,1,-1,7,10,1,7.0,1
22,4,9,1,-1,7,10,1,7.0,1
22,5,0,1,-1,7,10,1,,0
22,5,1,1,-1,7,10,1,7.0,1
22,5,2,1,-1,7,10,1,7.0,1
22,5,3,1,-1,7,10,1,7.0,1
22,5,4,1,-1,7,10,1,7.0,1
22,5,5,1,-1,7,10,1,7.0,1
22,5,6,1,-1,7,10,1,7.0,1
22,5,7,1,-1,7,10,1,7.0,1
22,5,8,1,-1,7,10,1,7.0,1
22,5,9,1,-1,7,10,1,7.0,1
22,6,0,1,-1,7,10,1,,0
22,6,1,1,-1,7,10,1,7.0,1
22,6,2,1,-1,7,10,1,7.0,1
22,6,3,1,-1,7,10,1,7.0,1
22,6,4,1,-1,7,10,1,7.0,1
22,6,5,1,-1,7,10,1,7.0,1
22,6,6,1,-1,7,10,1,7.0,1
22,6,7,1,-1,7,10,1,7.0,1
22,6,8,1,-1,7,10,1,7.0,1
22,6,9,1,-1,7,10,1,7.0,1
22,7,0,1,-1,7,10,1,,0
22,7,1,1,-1,7,10,1,7.0,1
22,7,2,1,-1,7,10,1,7.0,1
22,7,3,1,-1,7,10,1,7.0,1
22,7,4,1,-1,7,10,1,7.0,1
22,7,5,1,-1,7,10,1,7.0,1
22,7,6,1,-1,7,10,1,7.0,1
22,7,7,1,-1,7,10,1,7.0,1
22,7,8,1,-1,7,10,1,7.0,1
22,7,9,1,-1,7,10,1,7.0,1
22,8,0,1,-1,7,10,1,,0
22,8,1,1,-1,7,10,1,7.0,1
22,8,2,1,-1,7,10,1,7.0,1
22,8,3,1,-1,7,10,1,7.0,1
22,8,4,1,-1,7,10,1,7.0,1
22,8,5,1,-1,7,10,1,7.0,1
22,8,6,1,-1,7,10,1,7.0,1
22,8,7,1,-1,7,10,1,7.0,1
22,8,8,1,-1,7,10,1,7.0,1
22,8,9,1,-1,7,10,1,7.0,1
22,9,0,1,-1,7,10,1,,0
22,9,1,1,-1,7,10,1,7.0,1
22,9,2,1,-1,7,10,1,7.0,1
22,9,3,1,-1,7,10,1,7.0,1
22,9,4,1,-1,7,10,1,7.0,1
22,9,5,1,-1,7,10,1,7.0,1
22,9,6,1,-1,7,10,1,7.0,1
22,9,7,1,-1,7,10,1,7.0,1
22,9,8,1,-1,7,10,1,7.0,1
22,9,9,1,-1,7,10,1,7.0,1
