Identificador,Agente,Ronda,Estado,Puntaje,Politica,Parametro-0,Parametro-1,Politica_lag,Consistencia
34,0,0,1,1,4,2,0,,
34,0,1,0,0,4,2,0,4.0,1.0
34,0,2,1,1,4,2,0,4.0,1.0
34,0,3,0,0,4,2,0,4.0,1.0
34,0,4,1,1,4,2,0,4.0,1.0
34,0,5,0,0,4,2,0,4.0,1.0
34,0,6,1,1,4,2,0,4.0,1.0
34,0,7,0,0,4,2,0,4.0,1.0
34,0,8,1,1,4,2,0,4.0,1.0
34,0,9,0,0,4,2,0,4.0,1.0
34,1,0,0,0,4,2,0,,
34,1,1,1,1,4,2,0,4.0,1.0
34,1,2,0,0,4,2,0,4.0,1.0
34,1,3,1,1,4,2,0,4.0,1.0
34,1,4,0,0,4,2,0,4.0,1.0
34,1,5,1,1,4,2,0,4.0,1.0
34,1,6,0,0,4,2,0,4.0,1.0
34,1,7,1,1,4,2,0,4.0,1.0
34,1,8,0,0,4,2,0,4.0,1.0
34,1,9,1,1,4,2,0,4.0,1.0
34,2,0,1,1,4,2,0,,
34,2,1,0,0,4,2,0,4.0,1.0
34,2,2,1,1,4,2,0,4.0,1.0
34,2,3,0,0,4,2,0,4.0,1.0
34,2,4,1,1,4,2,0,4.0,1.0
34,2,5,0,0,4,2,0,4.0,1.0
34,2,6,1,1,4,2,0,4.0,1.0
34,2,7,0,0,4,2,0,4.0,1.0
34,2,8,1,1,4,2,0,4.0,1.0
34,2,9,0,0,4,2,0,4.0,1.0
34,3,0,0,0,4,2,0,,
34,3,1,1,1,4,2,0,4.0,1.0
34,3,2,0,0,4,2,0,4.0,1.0
34,3,3,1,1,4,2,0,4.0,1.0
34,3,4,0,0,4,2,0,4.0,1.0
34,3,5,1,1,4,2,0,4.0,1.0
34,3,6,0,0,4,2,0,4.0,1.0
34,3,7,1,1,4,2,0,4.0,1.0
34,3,8,0,0,4,2,0,4.0,1.0
34,3,9,1,1,4,2,0,4.0,1.0
34,4,0,0,0,0,2,0,,
34,4,1,0,0,0,2,0,0.0,1.0
34,4,2,0,0,0,2,0,0.0,1.0
34,4,3,0,0,0,2,0,0.0,1.0
34,4,4,0,0,0,2,0,0.0,1.0
34,4,5,0,0,0,2,0,0.0,1.0
34,4,6,0,0,0,2,0,0.0,1.0
34,4,7,0,0,0,2,0,0.0,1.0
34,4,8,0,0,0,2,0,0.0,1.0
34,4,9,0,0,0,2,0,0.0,1.0
