Identificador,Ronda,Agente,Estado,Puntaje,Politica
A,0,0,1,1,7-ventana
A,1,0,1,-1,7-ventana
A,2,0,0,0,7-ciclico-espejo
A,3,0,0,0,4-ventana-espejo
A,4,0,1,-1,4-ventana-espejo
A,5,0,1,-1,4-ventana-espejo
A,6,0,1,-1,4-ventana-espejo
A,7,0,1,-1,7-ventana
A,8,0,0,0,8-ventana-espejo
A,9,0,1,-1,8-ventana-espejo
A,10,0,1,1,8-ventana-espejo
A,11,0,1,-1,8-ventana-espejo
A,12,0,1,1,7-ventana
A,13,0,0,0,7-ventana
A,14,0,1,1,7-ventana
A,15,0,1,1,7-ventana
A,16,0,1,-1,7-ventana
A,17,0,1,-1,7-ventana
A,18,0,0,0,7-ventana
A,19,0,1,1,4-ventana-espejo
A,20,0,1,-1,7-ventana
A,21,0,0,0,4-ventana-espejo
A,22,0,1,-1,4-ventana-espejo
A,23,0,1,-1,7-ventana
A,24,0,0,0,4-ventana-espejo
A,25,0,1,1,4-ventana-espejo
A,26,0,1,-1,7-ventana
A,27,0,0,0,7-ventana
A,28,0,0,0,4-ventana-espejo
A,29,0,1,1,7-ventana
A,30,0,0,0,7-ventana
A,31,0,1,-1,7-ventana
A,32,0,0,0,7-ventana
A,33,0,1,-1,7-ventana
A,34,0,0,0,7-ventana
A,35,0,1,-1,7-ventana
A,36,0,0,0,7-ventana
A,37,0,1,-1,7-ventana
A,38,0,0,0,7-ventana
A,39,0,0,0,7-ventana
A,40,0,0,0,7-ventana
A,41,0,1,-1,7-ventana
A,42,0,0,0,7-ventana
A,43,0,0,0,7-ventana
A,44,0,0,0,7-ventana
A,45,0,0,0,7-ventana
A,46,0,1,-1,7-ventana
A,47,0,1,1,7-ventana
A,48,0,1,-1,7-ventana
A,49,0,0,0,7-ventana
A,50,0,1,-1,7-ventana
A,51,0,0,0,7-ventana
A,52,0,1,-1,7-ventana
A,53,0,0,0,7-ventana
A,54,0,0,0,4-ventana-espejo
A,55,0,1,-1,7-ventana
A,56,0,1,-1,7-ventana
A,57,0,0,0,7-ventana
A,58,0,0,0,7-ventana
A,59,0,0,0,7-ventana
A,60,0,1,1,7-ventana
A,61,0,1,-1,7-ventana
A,62,0,0,0,7-ventana
A,63,0,1,-1,7-ventana
A,64,0,1,-1,7-ventana
A,65,0,0,0,7-ventana
A,66,0,1,-1,7-ventana
A,67,0,0,0,7-ventana
A,68,0,0,0,7-ventana
A,69,0,0,0,7-ventana
A,70,0,0,0,7-ventana
A,71,0,0,0,7-ventana
A,72,0,1,-1,7-ventana
A,73,0,0,0,7-ventana
A,74,0,1,-1,7-ventana
A,75,0,1,-1,7-ventana
A,76,0,0,0,7-ventana
A,77,0,1,-1,7-ventana
A,78,0,0,0,7-ventana
A,79,0,0,0,7-ventana
A,80,0,0,0,7-ventana
A,81,0,0,0,7-ventana
A,82,0,1,-1,7-ventana
A,83,0,1,-1,7-ventana
A,84,0,0,0,7-ventana
A,85,0,1,-1,7-ventana
A,86,0,1,-1,7-ventana
A,87,0,0,0,7-ventana
A,88,0,0,0,7-ventana
A,89,0,0,0,7-ventana
A,90,0,0,0,7-ventana
A,91,0,1,1,7-ventana
A,92,0,0,0,7-ventana
A,93,0,0,0,7-ventana
A,94,0,1,-1,7-ventana
A,95,0,0,0,7-ventana
A,96,0,1,-1,7-ventana
A,97,0,0,0,7-ventana
A,98,0,0,0,7-ventana
A,99,0,0,0,7-ventana
A,100,0,0,0,7-ventana
A,101,0,0,0,7-ventana
A,102,0,1,-1,7-ventana
A,103,0,0,0,7-ventana
A,104,0,1,-1,7-ventana
A,105,0,0,0,7-ventana
A,106,0,0,0,7-ventana
A,107,0,1,-1,7-ventana
A,108,0,0,0,7-ventana
A,109,0,1,-1,7-ventana
A,110,0,0,0,4-ventana-espejo
A,111,0,1,-1,7-ventana
A,112,0,0,0,7-ventana
A,113,0,1,-1,7-ventana
A,114,0,0,0,7-ciclico-espejo
A,115,0,1,1,7-ventana
A,116,0,0,0,7-ventana
A,117,0,0,0,7-ventana
A,118,0,0,0,7-ventana
A,119,0,1,-1,7-ventana
A,120,0,0,0,7-ventana
A,121,0,1,-1,7-ventana
A,122,0,1,-1,7-ventana
A,123,0,1,1,7-ventana
A,124,0,1,-1,7-ventana
A,125,0,0,0,7-ventana
A,126,0,1,-1,7-ventana
A,127,0,0,0,7-ventana
A,128,0,0,0,4-ventana-espejo
A,129,0,1,-1,4-ventana-espejo
A,130,0,1,-1,7-ventana
A,131,0,0,0,4-ventana-espejo
A,132,0,1,1,4-ventana-espejo
A,133,0,1,-1,7-ventana
A,134,0,0,0,8-ventana-espejo
A,135,0,1,-1,7-ventana
A,136,0,0,0,4-ventana-espejo
A,137,0,1,-1,7-ventana
A,138,0,0,0,7-ventana
A,139,0,1,-1,7-ventana
A,140,0,0,0,7-ventana
A,141,0,1,-1,7-ventana
A,142,0,0,0,7-ventana
A,143,0,0,0,7-ciclico-espejo
A,144,0,0,0,7-ventana
A,145,0,1,1,7-ventana
A,146,0,0,0,7-ventana
A,147,0,0,0,7-ventana
A,148,0,1,-1,7-ventana
A,149,0,0,0,7-ventana
A,150,0,1,-1,7-ciclico-espejo
A,151,0,1,-1,7-ciclico-espejo
A,152,0,1,-1,7-ventana
A,153,0,0,0,7-ventana
A,154,0,1,1,7-ventana
