group,round,player,choice,score
2,1,jugador4b,1,1
2,1,jugador3b,0,0
2,1,jugador1b,0,0
2,1,jugador5a,1,1
2,1,jugador5b,0,0
2,2,jugador4b,1,1
2,2,jugador5a,0,0
2,2,jugador3b,0,0
2,2,jugador1b,0,0
2,2,jugador5b,1,1
2,3,jugador4b,1,-1
2,3,jugador5b,1,-1
2,3,jugador5a,1,-1
2,3,jugador1b,1,-1
2,3,jugador3b,1,-1
2,4,jugador5a,1,-1
2,4,jugador3b,0,0
2,4,jugador4b,1,-1
2,4,jugador1b,1,-1
2,4,jugador5b,1,-1
2,5,jugador3b,0,0
2,5,jugador1b,1,1
2,5,jugador5a,0,0
2,5,jugador4b,1,1
2,5,jugador5b,1,1
2,6,jugador5b,1,1
2,6,jugador1b,1,1
2,6,jugador3b,0,0
2,6,jugador4b,0,0
2,6,jugador5a,0,0
2,7,jugador4b,1,1
2,7,jugador1b,0,0
2,7,jugador3b,0,0
2,7,jugador5a,0,0
2,7,jugador5b,1,1
2,8,jugador3b,0,0
2,8,jugador1b,0,0
2,8,jugador5b,1,1
2,8,jugador4b,1,1
2,8,jugador5a,1,1
2,9,jugador4b,1,-1
2,9,jugador5b,1,-1
2,9,jugador1b,1,-1
2,9,jugador5a,1,-1
2,9,jugador3b,0,0
2,10,jugador3b,1,-1
2,10,jugador4b,1,-1
2,10,jugador1b,1,-1
2,10,jugador5a,1,-1
2,10,jugador5b,1,-1
2,11,jugador3b,0,0
2,11,jugador4b,1,1
2,11,jugador1b,1,1
2,11,jugador5a,0,0
2,11,jugador5b,1,1
2,12,jugador3b,0,0
2,12,jugador1b,0,0
2,12,jugador4b,1,1
2,12,jugador5b,1,1
2,12,jugador5a,1,1
2,13,jugador4b,0,0
2,13,jugador5a,1,1
2,13,jugador5b,1,1
2,13,jugador1b,0,0
2,13,jugador3b,0,0
2,14,jugador5a,1,-1
2,14,jugador5b,1,-1
2,14,jugador4b,1,-1
2,14,jugador3b,0,0
2,14,jugador1b,1,-1
2,15,jugador4b,1,-1
2,15,jugador5a,1,-1
2,15,jugador3b,0,0
2,15,jugador1b,1,-1
2,15,jugador5b,1,-1
2,16,jugador3b,1,-1
2,16,jugador4b,1,-1
2,16,jugador5b,0,0
2,16,jugador1b,1,-1
2,16,jugador5a,1,-1
2,17,jugador3b,0,0
2,17,jugador4b,1,1
2,17,jugador5a,1,1
2,17,jugador1b,1,1
2,17,jugador5b,0,0
2,18,jugador4b,1,1
2,18,jugador5a,1,1
2,18,jugador3b,1,1
2,18,jugador5b,0,0
2,18,jugador1b,0,0
2,19,jugador4b,1,-1
2,19,jugador5b,1,-1
2,19,jugador3b,0,0
2,19,jugador5a,1,-1
2,19,jugador1b,1,-1
2,20,jugador4b,1,-1
2,20,jugador3b,0,0
2,20,jugador1b,1,-1
2,20,jugador5b,1,-1
2,20,jugador5a,1,-1
2,21,jugador1b,1,-1
2,21,jugador5b,1,-1
2,21,jugador5a,1,-1
2,21,jugador4b,1,-1
2,21,jugador3b,0,0
