group,round,player,choice,attendance,score,ac_score
Grupo-0011,1,408405179210547,1,1,1,9
Grupo-0011,1,826599327153195,0,1,0,3
Grupo-0011,2,408405179210547,0,0,0,9
Grupo-0011,2,826599327153195,0,0,0,3
Grupo-0011,3,826599327153195,1,2,-1,3
Grupo-0011,3,408405179210547,1,2,-1,9
Grupo-0011,4,826599327153195,1,1,1,3
Grupo-0011,4,408405179210547,0,1,0,9
Grupo-0011,5,408405179210547,1,2,-1,9
Grupo-0011,5,826599327153195,1,2,-1,3
Grupo-0011,6,826599327153195,0,1,0,3
Grupo-0011,6,408405179210547,1,1,1,9
Grupo-0011,7,826599327153195,0,0,0,3
Grupo-0011,7,408405179210547,0,0,0,9
Grupo-0011,8,826599327153195,1,2,-1,3
Grupo-0011,8,408405179210547,1,2,-1,9
Grupo-0011,9,826599327153195,1,1,1,3
Grupo-0011,9,408405179210547,0,1,0,9
Grupo-0011,10,826599327153195,0,0,0,3
Grupo-0011,10,408405179210547,0,0,0,9
Grupo-0011,11,826599327153195,1,2,-1,3
Grupo-0011,11,408405179210547,1,2,-1,9
Grupo-0011,12,826599327153195,1,2,-1,3
Grupo-0011,12,408405179210547,1,2,-1,9
Grupo-0011,13,826599327153195,1,2,-1,3
Grupo-0011,13,408405179210547,1,2,-1,9
Grupo-0011,14,826599327153195,0,1,0,3
Grupo-0011,14,408405179210547,1,1,1,9
Grupo-0011,15,826599327153195,1,1,1,3
Grupo-0011,15,408405179210547,0,1,0,9
Grupo-0011,16,826599327153195,0,1,0,3
Grupo-0011,16,408405179210547,1,1,1,9
Grupo-0011,17,826599327153195,1,1,1,3
Grupo-0011,17,408405179210547,0,1,0,9
Grupo-0011,18,826599327153195,0,1,0,3
Grupo-0011,18,408405179210547,1,1,1,9
Grupo-0011,19,826599327153195,0,0,0,3
Grupo-0011,19,408405179210547,0,0,0,9
Grupo-0011,20,826599327153195,1,2,-1,3
Grupo-0011,20,408405179210547,1,2,-1,9
Grupo-0011,21,826599327153195,1,1,1,3
Grupo-0011,21,408405179210547,0,1,0,9
Grupo-0011,22,826599327153195,1,2,-1,3
Grupo-0011,22,408405179210547,1,2,-1,9
Grupo-0011,23,826599327153195,1,2,-1,3
Grupo-0011,23,408405179210547,1,2,-1,9
Grupo-0011,24,826599327153195,1,2,-1,3
Grupo-0011,24,408405179210547,1,2,-1,9
Grupo-0011,25,826599327153195,0,1,0,3
Grupo-0011,25,408405179210547,1,1,1,9
Grupo-0011,26,826599327153195,1,1,1,3
Grupo-0011,26,408405179210547,0,1,0,9
Grupo-0011,27,826599327153195,0,1,0,3
Grupo-0011,27,408405179210547,1,1,1,9
