group,round,player,choice,attendance,score,ac_score
Grupo-0001,1,jugador1a,1,2,-1,22
Grupo-0001,1,jugador2a,1,2,-1,22
Grupo-0001,2,jugador2a,1,1,1,22
Grupo-0001,2,jugador1a,0,1,0,22
Grupo-0001,3,jugador2a,0,1,0,22
Grupo-0001,3,jugador1a,1,1,1,22
Grupo-0001,4,jugador2a,1,1,1,22
Grupo-0001,4,jugador1a,0,1,0,22
Grupo-0001,5,jugador2a,0,1,0,22
Grupo-0001,5,jugador1a,1,1,1,22
Grupo-0001,6,jugador2a,1,1,1,22
Grupo-0001,6,jugador1a,0,1,0,22
Grupo-0001,7,jugador1a,1,2,-1,22
Grupo-0001,7,jugador2a,1,2,-1,22
Grupo-0001,8,jugador2a,0,1,0,22
Grupo-0001,8,jugador1a,1,1,1,22
Grupo-0001,9,jugador2a,1,1,1,22
Grupo-0001,9,jugador1a,0,1,0,22
Grupo-0001,10,jugador2a,0,1,0,22
Grupo-0001,10,jugador1a,1,1,1,22
Grupo-0001,11,jugador2a,1,1,1,22
Grupo-0001,11,jugador1a,0,1,0,22
Grupo-0001,12,jugador2a,0,1,0,22
Grupo-0001,12,jugador1a,1,1,1,22
Grupo-0001,13,jugador1a,0,1,0,22
Grupo-0001,13,jugador2a,1,1,1,22
Grupo-0001,14,jugador2a,0,1,0,22
Grupo-0001,14,jugador1a,1,1,1,22
Grupo-0001,15,jugador2a,1,1,1,22
Grupo-0001,15,jugador1a,0,1,0,22
Grupo-0001,16,jugador1a,1,1,1,22
Grupo-0001,16,jugador2a,0,1,0,22
Grupo-0001,17,jugador1a,0,1,0,22
Grupo-0001,17,jugador2a,1,1,1,22
Grupo-0001,18,jugador1a,1,1,1,22
Grupo-0001,18,jugador2a,0,1,0,22
Grupo-0001,19,jugador1a,0,1,0,22
Grupo-0001,19,jugador2a,1,1,1,22
Grupo-0001,20,jugador2a,0,1,0,22
Grupo-0001,20,jugador1a,1,1,1,22
Grupo-0001,21,jugador1a,0,1,0,22
Grupo-0001,21,jugador2a,1,1,1,22
Grupo-0001,22,jugador1a,1,1,1,22
Grupo-0001,22,jugador2a,0,1,0,22
Grupo-0001,23,jugador1a,0,1,0,22
Grupo-0001,23,jugador2a,1,1,1,22
Grupo-0001,24,jugador1a,1,1,1,22
Grupo-0001,24,jugador2a,0,1,0,22
Grupo-0001,25,jugador2a,1,1,1,22
Grupo-0001,25,jugador1a,0,1,0,22
Grupo-0001,26,jugador2a,0,1,0,22
Grupo-0001,26,jugador1a,1,1,1,22
Grupo-0001,27,jugador2a,1,1,1,22
Grupo-0001,27,jugador1a,0,1,0,22
Grupo-0001,28,jugador1a,1,1,1,22
Grupo-0001,28,jugador2a,0,1,0,22
Grupo-0001,29,jugador2a,1,1,1,22
Grupo-0001,29,jugador1a,0,1,0,22
