,Ronda,Agente,Estado,Puntaje,id
0,0,0,1,-1,0
1,1,0,0,0,0
2,2,0,1,-1,0
3,3,0,1,-1,0
4,4,0,1,1,0
5,5,0,0,0,0
6,6,0,0,0,0
7,7,0,1,1,0
8,8,0,1,-1,0
9,9,0,0,0,0
10,10,0,0,0,0
11,11,0,1,1,0
12,12,0,0,0,0
13,13,0,1,1,0
14,14,0,0,0,0
15,15,0,0,0,0
16,16,0,0,0,0
17,17,0,1,-1,0
18,18,0,0,0,0
19,19,0,0,0,0
20,20,0,1,-1,0
21,21,0,1,1,0
22,22,0,0,0,0
23,23,0,0,0,0
24,24,0,0,0,0
25,25,0,0,0,0
26,26,0,1,-1,0
27,27,0,0,0,0
28,28,0,1,1,0
29,29,0,0,0,0
30,30,0,0,0,0
31,31,0,1,-1,0
32,32,0,0,0,0
33,33,0,0,0,0
34,34,0,0,0,0
35,35,0,0,0,0
36,36,0,0,0,0
37,37,0,0,0,0
38,38,0,0,0,0
39,39,0,1,1,0
40,40,0,1,1,0
41,41,0,0,0,0
42,42,0,0,0,0
43,43,0,0,0,0
44,44,0,1,1,0
45,45,0,0,0,0
46,46,0,1,-1,0
47,47,0,0,0,0
48,48,0,1,-1,0
49,0,1,1,-1,0
50,1,1,0,0,0
51,2,1,1,-1,0
52,3,1,1,-1,0
53,4,1,0,0,0
54,5,1,1,1,0
55,6,1,1,1,0
56,7,1,0,0,0
57,8,1,1,-1,0
58,9,1,0,0,0
59,10,1,1,1,0
60,11,1,0,0,0
61,12,1,1,1,0
62,13,1,0,0,0
63,14,1,1,1,0
64,15,1,0,0,0
65,16,1,1,1,0
66,17,1,1,-1,0
67,18,1,1,1,0
68,19,1,1,1,0
69,20,1,1,-1,0
70,21,1,0,0,0
71,22,1,0,0,0
72,23,1,1,1,0
73,24,1,0,0,0
74,25,1,0,0,0
75,26,1,1,-1,0
76,27,1,1,1,0
77,28,1,0,0,0
78,29,1,1,1,0
79,30,1,1,1,0
80,31,1,1,-1,0
81,32,1,1,1,0
82,33,1,0,0,0
83,34,1,1,1,0
84,35,1,1,1,0
85,36,1,0,0,0
86,37,1,0,0,0
87,38,1,1,1,0
88,39,1,0,0,0
89,40,1,0,0,0
90,41,1,1,1,0
91,42,1,0,0,0
92,43,1,0,0,0
93,44,1,0,0,0
94,45,1,0,0,0
95,46,1,1,-1,0
96,47,1,1,1,0
97,48,1,1,-1,0
0,0,0,0,0,1
1,1,0,1,-1,1
2,2,0,0,0,1
3,3,0,0,0,1
4,4,0,1,1,1
5,5,0,0,0,1
6,6,0,0,0,1
7,7,0,0,0,1
8,8,0,1,-1,1
9,9,0,1,1,1
10,10,0,1,-1,1
11,11,0,0,0,1
12,12,0,1,1,1
13,13,0,0,0,1
14,14,0,0,0,1
15,15,0,0,0,1
16,16,0,1,-1,1
17,17,0,1,1,1
18,18,0,0,0,1
19,19,0,1,-1,1
20,20,0,0,0,1
21,21,0,1,1,1
22,22,0,0,0,1
23,23,0,0,0,1
24,24,0,1,1,1
25,25,0,0,0,1
26,26,0,1,1,1
27,27,0,1,1,1
28,28,0,1,-1,1
29,29,0,0,0,1
30,30,0,1,1,1
31,31,0,1,-1,1
32,32,0,0,0,1
33,33,0,1,1,1
34,34,0,1,-1,1
35,35,0,0,0,1
36,36,0,1,-1,1
37,37,0,0,0,1
38,38,0,0,0,1
39,39,0,1,1,1
40,40,0,1,-1,1
41,41,0,0,0,1
42,42,0,1,1,1
43,43,0,0,0,1
44,44,0,1,-1,1
45,45,0,1,-1,1
46,46,0,1,1,1
47,47,0,1,1,1
48,48,0,1,1,1
49,0,1,0,0,1
50,1,1,1,-1,1
51,2,1,1,1,1
52,3,1,0,0,1
53,4,1,0,0,1
54,5,1,1,1,1
55,6,1,1,1,1
56,7,1,0,0,1
57,8,1,1,-1,1
58,9,1,0,0,1
59,10,1,1,-1,1
60,11,1,1,1,1
61,12,1,0,0,1
62,13,1,1,1,1
63,14,1,1,1,1
64,15,1,0,0,1
65,16,1,1,-1,1
66,17,1,0,0,1
67,18,1,1,1,1
68,19,1,1,-1,1
69,20,1,0,0,1
70,21,1,0,0,1
71,22,1,0,0,1
72,23,1,1,1,1
73,24,1,0,0,1
74,25,1,1,1,1
75,26,1,0,0,1
76,27,1,0,0,1
77,28,1,1,-1,1
78,29,1,0,0,1
79,30,1,0,0,1
80,31,1,1,-1,1
81,32,1,1,1,1
82,33,1,0,0,1
83,34,1,1,-1,1
84,35,1,1,1,1
85,36,1,1,-1,1
86,37,1,0,0,1
87,38,1,1,1,1
88,39,1,0,0,1
89,40,1,1,-1,1
90,41,1,0,0,1
91,42,1,0,0,1
92,43,1,1,1,1
93,44,1,1,-1,1
94,45,1,1,-1,1
95,46,1,0,0,1
96,47,1,0,0,1
97,48,1,0,0,1
0,0,0,0,0,2
1,1,0,0,0,2
2,2,0,0,0,2
3,3,0,0,0,2
4,4,0,1,1,2
5,5,0,0,0,2
6,6,0,0,0,2
7,7,0,1,1,2
8,8,0,0,0,2
9,9,0,1,-1,2
10,10,0,0,0,2
11,11,0,1,1,2
12,12,0,1,-1,2
13,13,0,0,0,2
14,14,0,0,0,2
15,15,0,1,1,2
16,16,0,0,0,2
17,17,0,1,1,2
18,18,0,1,-1,2
19,19,0,0,0,2
20,20,0,0,0,2
21,21,0,1,1,2
22,22,0,0,0,2
23,23,0,1,-1,2
24,24,0,1,1,2
25,25,0,0,0,2
26,26,0,0,0,2
27,27,0,0,0,2
28,28,0,0,0,2
29,29,0,1,-1,2
30,30,0,1,1,2
31,31,0,1,1,2
32,32,0,1,-1,2
33,33,0,0,0,2
34,34,0,1,-1,2
35,35,0,1,-1,2
36,36,0,1,1,2
37,37,0,1,-1,2
38,38,0,0,0,2
39,39,0,1,1,2
40,40,0,0,0,2
41,41,0,0,0,2
42,42,0,0,0,2
43,43,0,1,-1,2
44,44,0,1,1,2
45,45,0,1,1,2
46,46,0,1,-1,2
47,47,0,1,-1,2
48,48,0,1,-1,2
49,0,1,1,1,2
50,1,1,0,0,2
51,2,1,1,1,2
52,3,1,0,0,2
53,4,1,0,0,2
54,5,1,0,0,2
55,6,1,0,0,2
56,7,1,0,0,2
57,8,1,1,1,2
58,9,1,1,-1,2
59,10,1,0,0,2
60,11,1,0,0,2
61,12,1,1,-1,2
62,13,1,0,0,2
63,14,1,1,1,2
64,15,1,0,0,2
65,16,1,0,0,2
66,17,1,0,0,2
67,18,1,1,-1,2
68,19,1,1,1,2
69,20,1,0,0,2
70,21,1,0,0,2
71,22,1,0,0,2
72,23,1,1,-1,2
73,24,1,0,0,2
74,25,1,1,1,2
75,26,1,1,1,2
76,27,1,1,1,2
77,28,1,1,1,2
78,29,1,1,-1,2
79,30,1,0,0,2
80,31,1,0,0,2
81,32,1,1,-1,2
82,33,1,0,0,2
83,34,1,1,-1,2
84,35,1,1,-1,2
85,36,1,0,0,2
86,37,1,1,-1,2
87,38,1,0,0,2
88,39,1,0,0,2
89,40,1,1,1,2
90,41,1,0,0,2
91,42,1,0,0,2
92,43,1,1,-1,2
93,44,1,0,0,2
94,45,1,0,0,2
95,46,1,1,-1,2
96,47,1,1,-1,2
97,48,1,1,-1,2
0,0,0,1,-1,3
1,1,0,1,-1,3
2,2,0,1,1,3
3,3,0,0,0,3
4,4,0,0,0,3
5,5,0,0,0,3
6,6,0,1,1,3
7,7,0,0,0,3
8,8,0,1,1,3
9,9,0,0,0,3
10,10,0,0,0,3
11,11,0,0,0,3
12,12,0,0,0,3
13,13,0,1,1,3
14,14,0,1,1,3
15,15,0,1,1,3
16,16,0,0,0,3
17,17,0,1,-1,3
18,18,0,1,1,3
19,19,0,0,0,3
20,20,0,0,0,3
